title,imdb,year,decade code,binary,code,clean_test,average_sentiment,budget,domgross
Rush,tt1979320,2013,1.0,FAIL,2013FAIL,notalk,0.908736,38000000,26947624.0
Safe Haven,tt1702439,2013,1.0,PASS,2013PASS,ok,0.775828,28000000,71399120.0
Saving Mr. Banks,tt2140373,2013,1.0,PASS,2013PASS,ok,0.7913519999999999,35000000,82834332.0
Side Effects,tt2053463,2013,1.0,PASS,2013PASS,ok,0.486536,30000000,32172757.0
Star Trek Into Darkness,tt1408101,2013,1.0,FAIL,2013FAIL,notalk,0.7024400000000002,190000000,228778661.0
Texas Chainsaw 3D,tt1572315,2013,1.0,PASS,2013PASS,ok,-0.055887999999999965,20000000,34341945.0
The Big Wedding,tt1931435,2013,1.0,PASS,2013PASS,ok,0.6639639999999999,32500000,21819348.0
The Book Thief,tt0816442,2013,1.0,PASS,2013PASS,ok,0.438684,19000000,21345525.0
The Call,tt1911644,2013,1.0,PASS,2013PASS,ok,0.16674799999999998,13000000,51872378.0
The Conjuring,tt1457767,2013,1.0,PASS,2013PASS,ok,-0.182368,20000000,137400141.0
The Counselor,tt2193215,2013,1.0,PASS,2013PASS,ok,0.040740000000000005,25000000,16973715.0
The Croods,tt0481499,2013,1.0,FAIL,2013FAIL,men,0.8195200000000001,135000000,187168425.0
The Family,tt2404311,2013,1.0,FAIL,2013FAIL,men,0.7889479999999999,30000000,36918811.0
The Fifth Estate,tt1837703,2013,1.0,FAIL,2013FAIL,notalk,0.518412,26000000,3254172.0
The Frozen Ground,tt2005374,2013,1.0,FAIL,2013FAIL,nowomen,0.2639360000000001,19200000,
The Great Gatsby,tt1343092,2013,1.0,FAIL,2013FAIL,dubious,0.8228480000000001,190000000,144840419.0
The Hangover part 3,tt1951261,2013,1.0,FAIL,2013FAIL,men,0.5812519999999999,103000000,112200072.0
The Heat,tt2404463,2013,1.0,PASS,2013PASS,ok,0.6048439999999999,43000000,159581587.0
The Hobbit: The Desolation of Smaug,tt1170358,2013,1.0,FAIL,2013FAIL,notalk,0.8363960000000001,250000000,257397516.0
The Host,tt1517260,2013,1.0,FAIL,2013FAIL,dubious,0.6972760000000001,50000000,26623701.0
The Hunger Games: Catching Fire,tt1951264,2013,1.0,PASS,2013PASS,ok,0.869136,130000000,424088260.0
The Incredible Burt Wonderstone,tt0790628,2013,1.0,FAIL,2013FAIL,notalk,0.6174279999999999,32000000,22537881.0
The Internship,tt2234155,2013,1.0,FAIL,2013FAIL,notalk,0.6896080000000001,58000000,44672764.0
The Last Exorcism Part II,tt2034139,2013,1.0,PASS,2013PASS,ok,-0.16229199999999994,4000000,15179303.0
The Lone Ranger,tt1210819,2013,1.0,FAIL,2013FAIL,notalk,0.6355040000000001,275000000,89289910.0
The Mortal Instruments: City of Bones,tt1538403,2013,1.0,PASS,2013PASS,ok,0.413292,60000000,31165421.0
The Purge,tt2184339,2013,1.0,FAIL,2013FAIL,dubious,-0.310112,3000000,64473115.0
